DoubleStream-Timestep1-Layer8-Rank1: 299.5776672363281ms
DoubleStream-Timestep1-Layer8-Rank3: 299.3821716308594ms
DoubleStream-Timestep1-Layer8-Rank0: 299.60430908203125ms
DoubleStream-Timestep1-Layer8-Rank2: 299.3245544433594ms
DoubleStream-Timestep1-Layer9-Rank1: 300.7770690917969ms
DoubleStream-Timestep1-Layer9-Rank3: 300.849853515625ms
DoubleStream-Timestep1-Layer9-Rank0: 301.1734619140625ms
DoubleStream-Timestep1-Layer9-Rank2: 300.9583740234375ms
DoubleStream-Timestep1-Layer10-Rank1: 298.1986999511719ms
DoubleStream-Timestep1-Layer10-Rank3: 298.2214050292969ms
DoubleStream-Timestep1-Layer10-Rank0: 297.7127990722656ms
DoubleStream-Timestep1-Layer10-Rank2: 298.2340087890625ms
DoubleStream-Timestep1-Layer11-Rank1: 301.6310729980469ms
DoubleStream-Timestep1-Layer11-Rank3: 302.37835693359375ms
DoubleStream-Timestep1-Layer11-Rank2: 302.63482666015625ms
DoubleStream-Timestep1-Layer11-Rank0: 303.0567321777344ms
DoubleStream-Timestep1-Layer12-Rank3: 298.5921630859375ms
DoubleStream-Timestep1-Layer12-Rank1: 298.7218322753906ms
DoubleStream-Timestep1-Layer12-Rank2: 298.8744201660156ms
DoubleStream-Timestep1-Layer12-Rank0: 298.4816589355469ms
DoubleStream-Timestep1-Layer13-Rank3: 300.3618469238281ms
DoubleStream-Timestep1-Layer13-Rank1: 300.2166748046875ms
DoubleStream-Timestep1-Layer13-Rank0: 300.09906005859375ms
DoubleStream-Timestep1-Layer13-Rank2: 300.30706787109375ms
DoubleStream-Timestep1-Layer14-Rank1: 301.0488586425781ms
DoubleStream-Timestep1-Layer14-Rank3: 301.0078125ms
DoubleStream-Timestep1-Layer14-Rank2: 301.06195068359375ms
DoubleStream-Timestep1-Layer14-Rank0: 301.20489501953125ms
DoubleStream-Timestep1-Layer15-Rank3: 298.1838684082031ms
DoubleStream-Timestep1-Layer15-Rank1: 298.1573181152344ms
DoubleStream-Timestep1-Layer15-Rank2: 298.02691650390625ms
DoubleStream-Timestep1-Layer15-Rank0: 298.198486328125ms
DoubleStream-Timestep1-Layer16-Rank3: 299.4075927734375ms
DoubleStream-Timestep1-Layer16-Rank1: 299.7164306640625ms
DoubleStream-Timestep1-Layer16-Rank2: 299.92474365234375ms
DoubleStream-Timestep1-Layer16-Rank0: 300.1452941894531ms
DoubleStream-Timestep1-Layer17-Rank3: 299.52490234375ms
DoubleStream-Timestep1-Layer17-Rank1: 299.6252136230469ms
DoubleStream-Timestep1-Layer17-Rank0: 299.5498352050781ms
DoubleStream-Timestep1-Layer17-Rank2: 299.4822082519531ms
DoubleStream-Timestep1-Layer18-Rank3: 299.4814147949219ms
DoubleStream-Timestep1-Layer18-Rank1: 298.58526611328125ms
DoubleStream-Timestep1-Layer18-Rank2: 299.4765319824219ms
DoubleStream-Timestep1-Layer18-Rank0: 299.5412902832031ms
DoubleStream-Timestep1-Layer19-Rank1: 298.656494140625ms
DoubleStream-Timestep1-Layer19-Rank3: 299.0594482421875ms
DoubleStream-Timestep1-Layer19-Rank0: 298.7342529296875ms
DoubleStream-Timestep1-Layer19-Rank2: 298.9444580078125ms
SingleStream-Timestep1-Layer0-Rank3: 298.6595458984375ms
SingleStream-Timestep1-Layer0-Rank1: 298.61767578125ms
SingleStream-Timestep1-Layer0-Rank0: 298.40557861328125ms
SingleStream-Timestep1-Layer0-Rank2: 298.48309326171875ms
SingleStream-Timestep1-Layer1-Rank1: 299.90594482421875ms
SingleStream-Timestep1-Layer1-Rank3: 300.2004699707031ms
SingleStream-Timestep1-Layer1-Rank2: 300.21038818359375ms
SingleStream-Timestep1-Layer1-Rank0: 300.40155029296875ms
SingleStream-Timestep1-Layer2-Rank1: 299.3238830566406ms
SingleStream-Timestep1-Layer2-Rank3: 299.3602294921875ms
SingleStream-Timestep1-Layer2-Rank0: 299.1866149902344ms
SingleStream-Timestep1-Layer2-Rank2: 299.3714904785156ms
SingleStream-Timestep1-Layer3-Rank1: 299.71490478515625ms
SingleStream-Timestep1-Layer3-Rank3: 299.55316162109375ms
SingleStream-Timestep1-Layer3-Rank2: 299.5982666015625ms
SingleStream-Timestep1-Layer3-Rank0: 299.7120056152344ms
SingleStream-Timestep1-Layer4-Rank1: 298.5520935058594ms
SingleStream-Timestep1-Layer4-Rank3: 298.65911865234375ms
SingleStream-Timestep1-Layer4-Rank0: 298.52362060546875ms
SingleStream-Timestep1-Layer4-Rank2: 298.46539306640625ms
SingleStream-Timestep1-Layer5-Rank3: 298.3864440917969ms
SingleStream-Timestep1-Layer5-Rank0: 298.1936340332031ms
SingleStream-Timestep1-Layer5-Rank1: 298.4851379394531ms
SingleStream-Timestep1-Layer5-Rank2: 298.3505859375ms
SingleStream-Timestep1-Layer6-Rank3: 299.8451232910156ms
SingleStream-Timestep1-Layer6-Rank0: 299.7688903808594ms
SingleStream-Timestep1-Layer6-Rank1: 299.9309997558594ms
SingleStream-Timestep1-Layer6-Rank2: 300.0606384277344ms
SingleStream-Timestep1-Layer7-Rank3: 299.18524169921875ms
SingleStream-Timestep1-Layer7-Rank1: 299.071044921875ms
SingleStream-Timestep1-Layer7-Rank2: 299.0812683105469ms
SingleStream-Timestep1-Layer7-Rank0: 299.2515563964844ms
SingleStream-Timestep1-Layer8-Rank3: 298.0045471191406ms
SingleStream-Timestep1-Layer8-Rank0: 297.775146484375ms
SingleStream-Timestep1-Layer8-Rank1: 298.041259765625ms
SingleStream-Timestep1-Layer8-Rank2: 298.0160217285156ms
SingleStream-Timestep1-Layer9-Rank3: 298.13153076171875ms
SingleStream-Timestep1-Layer9-Rank1: 297.78851318359375ms
SingleStream-Timestep1-Layer9-Rank2: 297.9487609863281ms
SingleStream-Timestep1-Layer9-Rank0: 298.0572509765625ms
SingleStream-Timestep1-Layer10-Rank1: 297.4642639160156ms
SingleStream-Timestep1-Layer10-Rank0: 297.3522644042969ms
SingleStream-Timestep1-Layer10-Rank3: 297.5569152832031ms
SingleStream-Timestep1-Layer10-Rank2: 297.45086669921875ms
SingleStream-Timestep1-Layer11-Rank3: 298.081298828125ms
SingleStream-Timestep1-Layer11-Rank1: 298.2495422363281ms
SingleStream-Timestep1-Layer11-Rank0: 298.1435852050781ms
SingleStream-Timestep1-Layer11-Rank2: 298.150146484375ms
SingleStream-Timestep1-Layer12-Rank0: 298.6724548339844ms
SingleStream-Timestep1-Layer12-Rank3: 298.80670166015625ms
SingleStream-Timestep1-Layer12-Rank1: 298.8858642578125ms
SingleStream-Timestep1-Layer12-Rank2: 298.78350830078125ms
SingleStream-Timestep1-Layer13-Rank0: 299.42767333984375ms
SingleStream-Timestep1-Layer13-Rank3: 299.2706298828125ms
SingleStream-Timestep1-Layer13-Rank2: 299.30426025390625ms
SingleStream-Timestep1-Layer13-Rank1: 299.3095703125ms
SingleStream-Timestep1-Layer14-Rank3: 298.82940673828125ms
SingleStream-Timestep1-Layer14-Rank0: 298.90374755859375ms
SingleStream-Timestep1-Layer14-Rank2: 298.82330322265625ms
